date,usage_kwh,day_of_week,weekend,holiday,vacation,exam_period,temp_c,humidity_pct,wind_dir_deg,wind_speed_ms,pressure_local_hpa,pressure_sea_hpa,solar_rad_mj_m2,sunshine_sec,precip_mm,strong_wind_warning,strong_wind_advisory,dry_advisory,heavy_snow_warning,heavy_snow_advisory,tropical_night,typhoon_warning,typhoon_advisory,heat_wave_warning,heat_wave_advisory,cold_wave_warning,cold_wave_advisory,heavy_rain_warning,heavy_rain_advisory,yellow_dust_warning,obs_minutes
2021-10-14,213611.04,Thursday,0,0,0,1,19.082291666666666,78.11173611111111,235.9094164371181,1.4841556636553161,1015.4394444444445,1020.116875,14.02,30540.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440
2021-10-15,210713.76,Friday,0,0,0,1,19.142152777777778,77.718125,337.49376770919145,1.0446527777777777,1013.7458333333333,1018.4129166666668,6.4,2280.0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440
2021-10-16,171542.88,Saturday,1,0,0,1,12.340833333333332,43.180486111111115,314.7215313473513,3.912361111111111,1018.3107638888889,1023.1422916666666,7.52,5340.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1440
2021-10-17,163851.12,Sunday,1,1,0,1,5.887777777777777,39.84840277777778,309.5424746223068,2.5725694444444445,1023.744513888889,1028.7229166666666,17.79,38400.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1440
2021-10-18,192974.4,Monday,0,0,0,1,9.789784572619874,58.38950660180681,172.71421595889953,1.2952050034746352,1019.2857539958304,1024.16532314107,14.59,30600.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1439
2021-10-19,195482.16,Tuesday,0,0,0,1,11.336673625608906,76.08900487125956,300.4839813466102,2.0846903270702852,1015.2623521224774,1020.0996520528879,12.52,27240.0,11.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1437
2021-10-20,195320.88,Wednesday,0,0,0,1,8.94503127171647,70.46567060458652,282.71935744266256,1.1702571230020848,1017.0967338429465,1021.9863099374566,15.75,37680.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1439
2021-10-21,193053.6,Thursday,0,0,0,1,9.249166666666666,71.823125,306.3836769535422,1.1479861111111112,1015.6634722222221,1020.5492361111111,12.91,32760.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440
2021-10-22,190555.2,Friday,0,0,0,1,10.043145441892833,65.35908141962422,304.1575147601868,1.5830201809324984,1017.8089074460681,1022.6825330549757,15.34,36960.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1437
2021-10-23,173174.4,Saturday,1,0,0,0,10.186388888888889,67.9425,279.93628784726747,1.1522222222222223,1023.6127777777778,1028.5085416666666,15.11,35760.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440
